PARTY,UCC,SYMBOL,SETCOD,TYP,TOTSALE,DELVSALE,EPI,SALEPENDING,TOTBUY,DELVBUY,SALEVAL,BUYVAL,NETVAL,AVGRATE,NATURE,MINMARGIN
EJT0032,EJT0032,TVSMOTOR,N2022147  ,EQ,0,0,0,0,30,30,0,27608.5,-27608.50,920.28,R,5521.70
EJT0047,EJT0047,TATASTEEL,N2022147  ,EQ,8000,8000,8000,0,0,0,855175,0,855175,0,R,0
EJT0054,EJT0054,ITC,N2022147  ,EQ,200,200,200,0,0,0,61280,0,61280,0,R,0
EJT0054,EJT0054,CASTROLIND,N2022147  ,EQ,1000,1000,1000,0,0,0,114300,0,114300,0,R,0
EJT0061,EJT0061,TATACHEM,N2022148  ,EQ,0,0,0,0,100,100,0,95770,-95770,957.70,R,19154
EJT0069,EJT0069,SONACOMS,N2022147  ,EQ,100,100,100,0,0,0,58260,0,58260,0,R,0
EJT0069,EJT0069,TATAMOTORS,N2022147  ,EQ,100,100,100,0,0,0,46585,0,46585,0,R,0
EJT0069,EJT0069,ADANIPORTS,N2022147  ,EQ,100,100,100,0,0,0,80089.95,0,80089.95,0,R,0
EJT0069,EJT0069,BANKBEES,N2022147  ,EQ,100,100,100,0,0,0,38105,0,38105,0,R,0
EJT0071,EJT0071,WALCHANNAG,N2022147  ,EQ,0,0,0,0,600,600,0,33017.65,-33017.65,55.03,R,6603.53
EJT0091,EJT0091,NITINSPIN,N2022148  ,EQ,0,0,0,0,600,600,0,126857.5,-126857.50,211.43,R,25371.50
EJT0091,EJT0091,ZUARI,N2022148  ,EQ,5500,500,0,500,5000,0,920525.75,819000,101525.75,203.05,R,20305.15
EJT0091,EJT0091,TCS,N2022148  ,EQ,196,196,0,196,0,0,657854.4,0,657854.40,3356.40,R,131570.88
EJT0091,EJT0091,ADANIPORTS,N2022147  ,EQ,400,400,400,0,0,0,322200,0,322200,0,R,0
EJT0091,EJT0091,LATENTVIEW,N2022148  ,EQ,0,0,0,0,1700,1700,0,635698.85,-635698.85,373.94,R,127139.77
EJT0092,EJT0092,CENTRALBK,N2022148  ,EQ,0,0,0,0,500,500,0,9350,-9350,18.70,R,1870
EJT0093,EJT0093,HDFCLIFE,N2022148  ,EQ,0,0,0,0,70,70,0,37341.5,-37341.50,533.45,R,7468.30
EJT0099,EJT0099,CESC,N2022147  ,EQ,100,100,100,0,0,0,8065,0,8065,0,R,0
EJT0099,EJT0099,500414,Z2022148  ,EQ,100,100,0,100,0,0,7350,0,7350,73.50,Z,1470
EJT0099,EJT0099,TIINDIA,N2022148  ,EQ,0,0,0,0,10,10,0,22295.5,-22295.50,2229.55,R,4459.10
EJT0099,EJT0099,TIMETECHNO,N2022148  ,EQ,100,100,0,100,0,0,10600,0,10600,106,R,2120
EJT0099,EJT0099,523100,N2022148  ,EQ,0,0,0,0,50,50,0,18397.5,-18397.50,367.95,R,3679.50
EJT0099,EJT0099,PARADEEP,N2022148  ,EQ,200,200,0,200,0,0,10270,0,10270,51.35,R,2054
EJT0104,EJT0104,EASEMYTRIP,N2022148  ,EQ,450,450,0,450,0,0,186615,0,186615,414.70,R,37323
EJT0104,EJT0104,EASEMYTRIP,N2022147  ,EQ,0,0,0,0,450,450,0,176270,-176270,391.71,R,35254
EJT0113,EJT0113,EASEMYTRIP,N2022148  ,EQ,25,25,25,0,0,0,10357.5,0,10357.50,0,R,0
EJT0113,EJT0113,AWL,Z2022147  ,BE,0,0,0,0,20,20,0,13960,-13960,698,Z,2792
EJT0115,EJT0115,INDUSINDBK,N2022148  ,EQ,49,49,0,49,0,0,52062.5,0,52062.50,1062.50,R,10412.50
EJT0115,EJT0115,ADANIPORTS,N2022148  ,EQ,100,100,0,100,0,0,81300,0,81300,813,R,16260
EJT0117,EJT0117,TCS,N2022148  ,EQ,8,8,0,8,0,0,26992.4,0,26992.40,3374.05,R,5398.48
EJT0122,EJT0122,LUPIN,N2022148  ,EQ,200,200,100,100,0,0,126800,0,126800,634,R,12680
EJT0122,EJT0122,CDSL,N2022147  ,EQ,0,0,0,0,100,100,0,115939.15,-115939.15,1159.39,R,23187.83
EJT0122,EJT0122,LUPIN,N2022147  ,EQ,0,0,0,0,100,100,0,62600,-62600,626,R,12520
EJT0122,EJT0122,BSE,N2022148  ,EQ,0,0,0,0,100,100,0,67600,-67600,676,R,13520
EJU0003,EJU0003,ADANITRANS,N2022147  ,EQ,0,0,0,0,1,1,0,3474.95,-3474.95,3474.95,R,694.99
EJU0003,EJU0003,LIQUIDBEES,N2022147  ,EQ,0,0,0,0,1,1,0,1000.01,-1000.01,1000.01,R,200.0020
EJU0004,EJU0004,LIQUIDBEES,N2022147  ,EQ,0,0,0,0,1,1,0,1000.01,-1000.01,1000.01,R,200.0020
EJU0009,EJU0009,LIQUIDBEES,N2022147  ,EQ,0,0,0,0,2,2,0,2000.02,-2000.02,1000.01,R,400.0040
EJU0010,EJU0010,BEL,N2022147  ,EQ,0,0,0,0,52,52,0,14341.6,-14341.60,275.80,R,2868.32
EJU0010,EJU0010,ITC,N2022147  ,EQ,55,55,55,0,0,0,16890.5,0,16890.50,0,R,0
EJU0010,EJU0010,FEDERALBNK,N2022147  ,EQ,0,0,0,0,130,130,0,14157,-14157,108.90,R,2831.40
EJU0010,EJU0010,ADANITRANS,N2022147  ,EQ,0,0,0,0,6,6,0,20825.7,-20825.70,3470.95,R,4165.14
