Date,CM Code,CM Name,CP Code,TM Code,TM Name,End Client,Allocation at BOD,Allocations during the Day,Deallocation during the Day,Allocation at EOD,OWN Collateral at BOD,OWN Collateral added during Day,OWN Collateral reduced during Day,OWN Collateral at EOD,OWN Others Collateral at BOD,OWN Others Collateral added during Day,OWN Others Collateral reduced during Day,OWN Others Collateral at EOD,Total Collateral at EOD,Eligible Collateral at EOD,Margin Utilisation
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EMR0639        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32774.31
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DVD0036        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4446154.07
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EGA0691        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246623.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DVD0064        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592115.62
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DZP0007        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778296
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DZP0008        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194574
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DZP0012        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198408.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DJO1126        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255335.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ELB0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DZP0016        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66088.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DZP0027        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32739.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DMS0001        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152597.30
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DJO1741        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97984.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DQY0089        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226886.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DJO0557        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294656.06
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DJO1805        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47705.20
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DZY0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39329.18
