msgId,requestType,curDate,seg,cmCode,tmCode,cpCode,cliCode,accType,amt,action,RespStatus,RespMessagesCode,RespFeildMsg,RespValidationMsg,CreateDateTime,Source
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD3982        ,C,100289.805,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD4012        ,C,3613.59,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD4021        ,C,22312.5,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD4023        ,C,8158.74,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD4027        ,C,662.115,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD4038        ,C,1461,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAE0076        ,C,49984.95,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CP132          ,C,10775.565,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CRB4           ,C,7817.78,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAF0087        ,C,189505.19,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CSIB           ,C,21159.62,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CSUN           ,C,387.6,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CSDDH          ,C,16015.455,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAF0206        ,C,4384.84,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAF0207        ,C,8732.11,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
