Date,CM Code,CM Name,CP Code,TM Code,TM Name,End Client,Allocation at BOD,Allocations during the Day,Deallocation during the Day,Allocation at EOD,OWN Collateral at BOD,OWN Collateral added during Day,OWN Collateral reduced during Day,OWN Collateral at EOD,OWN Others Collateral at BOD,OWN Others Collateral added during Day,OWN Others Collateral reduced during Day,OWN Others Collateral at EOD,Total Collateral at EOD,Eligible Collateral at EOD,Margin Utilisation
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DJO1741        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97984.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DQY0089        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226873.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DJO0557        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294665.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DJO1805        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47708.13
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DZY0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39329.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EJX0034        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132183.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ERR0097        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893.76
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ENL5613        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60101.33
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DWJ0003        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98014.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FCF0425        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6677.93
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0024        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0042        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196443.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0045        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680621.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0078        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196443.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EJK0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130962.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0104        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196443.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EJK0012        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130962.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EMR0029        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98324.06
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0142        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196443.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0163        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196443.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DUD0011        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DUG0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32740.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DWP0006        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32740.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EWA0449        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EHI0007        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4560.87
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ENL0435        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32740.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ERR0019        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147562.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FOA4449        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880327
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FNP0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32774.69
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EWA2753        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598587.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FFM0102        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95416.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FED0080        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40067.55
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FED0083        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52528.44
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FJE0019        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FTU0009        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FTY0031        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453747.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0165        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196443.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0166        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196443.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0187        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196443.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0194        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196443.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EPV0007        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EPV0014        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EPV0017        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FOA4244        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95416.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EWA1238        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FLI0464        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398437.81
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GQA0099        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194580
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GZZ0016        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133558.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FQC0295        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32740.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GGI0144        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40067.55
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GBK0118        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389160
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FNQ0038        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32740.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FFM0821        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190560
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FFM0822        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190560
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FFM0851        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903644.69
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FOA2824        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33389.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FFM0918        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GGQ0176        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54263.07
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FFO1168        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GSB0028        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47708.13
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FNZ0015        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47851.64
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FNZ0044        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382371.20
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GNT0046        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26711.70
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FUH0021        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FTA0006        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65481.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FOA2573        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142092.31
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GZR0009        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425542.50
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,HNA0152        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98221.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,HAO0007        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305057.81
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,HNA0174        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32740.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,HPO0465        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552633.36
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,HPO0617        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9691458.44
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,HPS1426        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19041.08
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,HPO0639        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8561520
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GNT1982        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2918700
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,HPO2140        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6131376.53
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GNB0082        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15236.66
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GNB0092        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13232.87
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GNB0093        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95416.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,HPS5492        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78591.13
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,GNB0189        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66702.25
